layer,lens_top1_agreement,excess_kurtosis,pos_autocorr_dlogp,effective_dim_pr
0,0.03535811423390753,0.5551381703408761,-0.48285017246996825,26.06739616394043
1,0.09066183136899365,0.41990251532491507,-0.23362918691211468,26.54456329345703
2,0.09746146872166818,0.4181393522191674,0.18357023237406506,20.38840103149414
3,0.11650045330915684,0.35225012339144973,0.48224186832431437,21.413345336914062
4,0.13100634632819583,0.39280109111547257,0.7091045639024252,23.238683700561523
5,0.15820489573889393,0.4574207762426824,0.991009515950816,18.14118194580078
6,0.17180417044424298,0.4049189871047047,0.7821981753421068,16.853221893310547
7,0.17271078875793291,0.40569750352653716,1.1631100084818393,15.471426010131836
8,0.18313689936536717,0.366386501765316,0.9694951490608001,14.354562759399414
9,0.20217588395285585,0.3504146409920963,0.9481819547098113,12.172589302062988
10,0.19220308250226656,0.38413818943857175,1.3630174375726003,12.04715347290039
11,0.18177697189483227,0.3354133560996864,1.3957363484884973,8.44381046295166
12,0.18540344514959203,0.2784999244772945,1.7635346980713111,9.666420936584473
13,0.19038984587488667,0.25305023521914444,1.558505489733256,10.289566040039062
14,0.17361740707162285,0.2360764461977311,1.5130908236326355,11.532984733581543
15,0.15185856754306437,0.25772655258801236,2.526703406547484,13.431715965270996
16,0.14959202175883954,0.2083323367162931,2.78432212130978,15.409653663635254
17,0.1799637352674524,0.22130634864675708,2.729161834025102,19.447046279907227
18,0.23934723481414324,0.217414118437365,2.6059451894336467,26.145362854003906
19,0.2615593834995467,0.32052970127095337,2.107819737895229,41.578086853027344
20,0.3209428830462375,0.43035868439799746,1.716554394442713,66.61983489990234
21,0.37035358114233907,0.5214167843055206,1.4670178300126078,80.06509399414062
22,0.4170444242973708,0.566737867547292,1.3560745087084938,94.4014663696289
23,0.42973708068902994,0.6224572500745924,1.2857351156115424,105.87593078613281
24,0.46237533998186764,0.6333450030329437,1.1552301650682797,143.40408325195312
25,0.5172257479601088,0.6199040901412342,1.018001940287143,176.88002014160156
26,0.6319129646418857,0.7827537170022807,0.8504540451201977,144.18832397460938
